,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates,Probability of substitution
0,0.4071969696969697,0.4432587022147141,4.573863636363637,2.5542039104057546,0.5965909090909091,2.2003753319012804,0.25,0.0
1,0.6439393939393939,0.4953294254023493,5.056818181818182,2.147012333572919,0.5303030303030303,2.3500117226130453,0.25,0.004
2,0.8238636363636364,0.633196370394096,5.946969696969697,2.4345778733668806,0.7102272727272728,2.5749044654507762,0.25,0.008
3,1.183712121212121,0.5024296740485724,7.00757575757576,2.521145650347536,2.821969696969697,5.479314291132614,0.25,0.012
4,1.0984848484848484,0.6383446797860878,6.609848484848484,2.5717855961244953,4.119318181818182,6.116097461430247,0.25,0.016
5,1.3257575757575757,0.7383935109703761,6.950757575757575,2.842865487978011,3.6647727272727275,6.297675999685567,0.25,0.02
6,1.628787878787879,0.8851001095112062,8.371212121212121,3.2049573486988683,8.238636363636363,8.073048574857642,0.25,0.024
7,1.9507575757575757,0.8618985040138449,7.594696969696971,2.2742261471567393,5.577651515151515,7.063651303479254,0.25,0.028
8,1.619318181818182,0.6048016042362033,7.443181818181818,2.5920690075938486,6.856060606060606,7.06913988764884,0.25,0.032
9,2.121212121212121,0.9462118179391512,8.352272727272727,2.4105168973853615,8.589015151515152,7.248810253144177,0.25,0.036000000000000004
10,1.7708333333333335,0.6743461573249973,8.674242424242426,2.848222908652646,10.90909090909091,7.772631283003481,0.25,0.04
11,2.130681818181818,0.7513355685665392,9.668560606060606,3.375239656661285,13.267045454545457,8.521248819576456,0.25,0.044
12,2.225378787878788,1.0028494040616536,9.914772727272728,3.0829790718605024,15.899621212121213,6.711864424512037,0.25,0.048
13,2.310606060606061,0.8461480266548742,10.331439393939394,2.8244313800344694,15.02840909090909,7.6377142170117756,0.25,0.052000000000000005
14,2.3295454545454546,1.0041451622584519,10.738636363636363,2.889173352085715,16.61931818181818,7.9383798128478515,0.25,0.056
15,2.2632575757575757,1.1220292246807342,10.34090909090909,3.0891539134245876,16.19318181818182,8.178112762226919,0.25,0.06
16,2.5568181818181817,0.997694484171661,11.013257575757574,3.4367433844672672,16.93181818181818,8.383201341867675,0.25,0.064
17,2.6515151515151514,0.9768027998657293,11.53409090909091,3.748804140513373,18.986742424242426,7.676034960339275,0.25,0.068
18,2.5,0.9870313803632865,12.746212121212121,3.4138750101519992,21.221590909090907,7.892292249124604,0.25,0.07200000000000001
19,2.5946969696969697,1.0563700581351774,12.462121212121213,3.8710564518306723,21.117424242424242,6.254446306399367,0.25,0.076
20,2.7178030303030303,0.7570428997224675,13.030303030303031,2.7364638895692446,21.75189393939394,6.852757188010071,0.25,0.08
21,2.6893939393939394,0.9686902918594259,13.030303030303031,4.292855020153693,21.571969696969695,7.112215262899588,0.25,0.084
22,2.746212121212121,1.0937397513621903,12.869318181818182,3.3832008270745213,21.875,6.109385843575026,0.25,0.088
23,2.926136363636364,1.0092671352854552,12.926136363636363,3.263063009729314,24.176136363636363,4.793491013945946,0.25,0.092
24,2.7556818181818183,0.9469223473010772,13.854166666666668,2.6567690102249126,24.479166666666668,4.917454164299754,0.25,0.096
25,3.21969696969697,1.0199175771088076,13.939393939393938,2.9743894590000877,24.46969696969697,5.545589085965214,0.25,0.1
26,2.9924242424242427,1.2121212121212122,15.179924242424244,3.7348441629761706,26.941287878787882,5.716552604998999,0.25,0.10400000000000001
27,3.181818181818182,0.9385993707093838,14.564393939393941,3.5350773250687,25.397727272727273,5.830719357261203,0.25,0.108
28,2.982954545454546,0.9208032604191467,17.329545454545457,3.4119832006913247,30.284090909090914,5.645686886271192,0.25,0.112
29,2.6799242424242427,1.0177611611872914,17.651515151515152,3.882159992520896,29.763257575757574,6.163245167537883,0.25,0.116
30,2.945075757575758,1.122029224680734,17.793560606060606,3.2929364944419914,31.316287878787875,4.755551329926013,0.25,0.12
31,2.869318181818182,1.157900396231957,18.882575757575758,3.060397438884402,32.66098484848485,4.248074818512767,0.25,0.124
32,2.821969696969697,1.0943954706964898,18.323863636363637,2.7572108639281563,32.22537878787879,4.2021453530526305,0.25,0.128
33,2.840909090909091,0.9694305978840702,18.05871212121212,3.7117225937800398,31.496212121212125,4.737537115433524,0.25,0.132
34,2.850378787878788,1.3175816619665035,19.573863636363633,3.3809735889711523,32.859848484848484,4.174192583434506,0.25,0.136
35,3.00189393939394,1.076009293533486,19.289772727272727,3.3596878057646746,33.08712121212121,4.44454756968283,0.25,0.14
36,2.926136363636364,1.0813299313067042,19.33712121212121,4.023852422115883,32.547348484848484,5.861665931845354,0.25,0.14400000000000002
37,2.869318181818182,1.0709971897660073,19.72537878787879,3.3873332411287,33.996212121212125,5.746319489218843,0.25,0.148
38,2.9071969696969697,1.1152955456023323,20.189393939393938,3.559598503478837,34.82007575757576,4.583480072156408,0.25,0.152
39,3.238636363636364,1.3629785871456115,20.833333333333336,3.7296663292386327,35.35037878787879,5.128616875869967,0.25,0.156
40,2.6515151515151514,1.256297269074015,20.81439393939394,3.590451559523618,35.54924242424242,4.851258380481966,0.25,0.16
41,3.2954545454545454,1.2822962787735421,20.68181818181818,3.5982854809205804,34.905303030303024,4.719330631728428,0.25,0.164
42,2.9356060606060606,1.3624521373047498,21.46780303030303,3.284101285328405,36.2310606060606,4.0403991082671915,0.25,0.168
43,2.8314393939393945,1.2332076265882734,21.742424242424242,3.587303201680855,36.45833333333333,4.8794216015107015,0.25,0.17200000000000001
