,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,codeword_length
0,3,1.3888888888888888,1.0955703302036328,2.4537037037037037,1.4574144665460367,10.416666666666666,6.631853547951845,72
1,4,1.6145833333333333,1.2556536880898252,2.7256944444444446,1.2556536880898252,12.395833333333334,6.912775009598774,96
2,5,1.777777777777778,0.8351831321318283,2.875,1.5055837430735652,12.875,6.7954999407287495,120
3,6,1.3425925925925928,0.5928818738363749,2.962962962962963,1.2796550889893754,13.28125,6.068323019651586,144
4,7,1.636904761904762,0.6997388878802523,2.6686507936507935,1.1117752408616572,10.9375,4.8351646996666515,168
5,8,1.5451388888888888,0.672168773701595,2.734375,1.0334966058846058,11.809895833333332,4.650297247023794,192
6,9,1.5586419753086418,0.6760245714138737,2.6620370370370368,0.882973663090771,10.601851851851853,4.764021612087729,216
7,10,1.6041666666666665,0.6902302688770423,2.375,0.7756667780801779,9.6875,4.182003025531611,240
8,11,1.5530303030303032,0.5662143263832996,2.5505050505050506,1.0316514250411866,10.890151515151516,4.413935365773172,264
9,12,1.5046296296296298,0.5763842406476265,2.8356481481481484,0.8841107835401717,12.144097222222221,4.222347503052714,288
10,13,1.7521367521367524,0.5576063397734995,2.665598290598291,0.727731948459412,11.690705128205128,3.0237012843156084,312
11,14,1.5525793650793651,0.5850441586850423,2.4553571428571432,0.7052552780686141,9.776785714285714,3.1961500610242055,336
12,15,1.550925925925926,0.5166757930960844,2.9027777777777777,0.8500257197754874,12.618055555555554,3.374678482627806,360
