,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,codeword_length
0,3,1.7916666666666667,1.4135996211406143,2.7916666666666665,1.6723860200324565,14.131944444444446,7.491555817372972,72
1,4,1.65625,0.8449066146622359,2.53125,1.3760649285189999,12.786458333333332,6.673936059481067,96
2,5,1.7625,0.8365666440876064,2.4375,1.2409044080830722,12.958333333333334,6.255414321476503,120
3,6,1.6458333333333335,0.7273787604206703,2.6875,1.163500167120267,12.777777777777777,5.152010275275392,144
4,7,1.6071428571428572,0.7319250547113998,2.357142857142857,0.9839269509968509,11.830357142857142,4.726781741532623,168
5,8,1.8515625,0.7570872818531229,2.8828125,1.0745809048618675,14.713541666666668,4.443520343924961,192
6,9,1.6944444444444442,0.515201027527539,2.756944444444444,1.0493007298219792,13.171296296296296,3.8719732415481314,216
7,10,1.525,0.558457697592217,2.4875,0.9403290647427633,12.635416666666666,4.338526035386007,240
8,11,1.5568181818181819,0.6538782900370819,2.4488636363636362,0.7477367711471864,12.168560606060606,3.697004140891459,264
9,12,1.703125,0.6684343426890266,2.625,0.8025566785107593,12.309027777777777,3.130733551949522,288
10,13,1.6201923076923077,0.5862822580418706,2.4951923076923075,0.7911393317916208,12.091346153846152,3.7678919952588306,312
11,14,1.7053571428571428,0.5326549549383804,2.3348214285714284,0.6305714680157279,12.373511904761905,2.643526952203024,336
12,15,1.6833333333333331,0.5372253820428732,2.6625,0.7144223579617001,13.298611111111109,3.1237265924011455,360
