,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,codeword_length
0,3,1.8489583333333335,1.1759189484245456,3.0468750000000004,2.1898239143916727,10.45138888888889,8.789524379153196,72
1,4,1.73828125,1.1651827139277073,3.5546875,2.0066874279752067,10.755208333333334,8.925531941722484,96
2,5,1.703125,0.9979226469897353,3.09375,1.6591954940572855,10.520833333333332,6.766665383825823,120
3,6,1.71875,0.7565541169965598,3.2421875,1.6241630289798068,12.118055555555554,6.391058659333134,144
4,7,1.607142857142857,0.8035714285714286,2.9910714285714284,1.21933038247747,8.75,6.279973478719797,168
5,8,1.69921875,0.7284396952723249,3.37890625,1.3518955063025164,11.354166666666666,5.806999712392125,192
6,9,1.6927083333333333,0.5871418948988143,3.4809027777777772,1.6015330940540409,11.724537037037038,6.136999300689766,216
7,10,1.671875,0.6936866525132223,3.6875,1.6390617552429194,11.53125,6.528109292704895,240
8,11,1.5767045454545454,0.6382568732574139,2.8480113636363633,1.1229454595109047,8.068181818181818,5.945401260070736,264
9,12,1.6731770833333335,0.6349241922672464,2.779947916666667,0.9539704455603456,8.229166666666668,5.557291395484044,288
10,13,1.5805288461538463,0.6196318558159061,3.5637019230769234,1.0239474668401563,12.227564102564102,5.371124545104774,312
11,14,1.7857142857142858,0.7520035949965633,3.1975446428571432,0.9696181665742928,10.319940476190476,4.613281246249912,336
12,15,1.6458333333333335,0.6281172263200556,3.40625,1.2408956638698965,11.069444444444445,5.998504829137439,360
