,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates
0,3,1.3645833333333335,0.7094813001607426,8.729166666666668,2.529255901775593,1.3020833333333333,3.0106689628995524,0.25
1,4,1.28125,0.6136999300689765,6.791666666666666,2.163459164291195,1.5416666666666667,4.036723781594288,0.25
2,5,1.3229166666666667,0.7954269250255208,5.979166666666666,2.152094425592582,7.104166666666666,7.711119991789635,0.25
3,6,1.5625,0.7261843774138906,5.927083333333334,2.237014030093091,10.9375,8.875953587267867,0.25
4,8,1.3125,0.7600598477897792,5.760416666666667,2.0282028426252965,12.541666666666668,7.522997149481788,0.25
5,10,1.4375,0.8934075684329819,5.125,1.7159383568311666,17.385416666666664,8.272689495747773,0.25
6,12,1.3125,0.6944097213541233,5.177083333333334,1.6107481332011877,19.40625,6.537078738817516,0.25
