,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates
0,3,1.3333333333333333,1.3653561919382786,16.61111111111111,7.3951518987062235,18.479166666666664,7.488156157485559,0.5
1,4,1.875,1.4282613750835509,6.104166666666667,2.32279988495685,10.083333333333332,5.256609595970053,0.375
2,5,1.7,1.0535653752852738,3.2166666666666663,1.5483862567202022,5.020833333333334,4.752512128104228,0.3
3,6,1.5138888888888888,0.9459750668809902,2.75,1.2966600018870895,4.3125,3.978621254069471,0.25
4,7,1.476190476190476,0.9689042833036098,2.488095238095238,0.9729184420004487,5.604166666666667,5.184068476806823,0.21428571428571427
5,8,1.34375,0.7932413068123302,2.125,0.8779711460710615,3.7708333333333335,4.409536304042259,0.1875
6,9,1.259259259259259,0.7162622076227303,2.194444444444444,0.7829961624413017,5.833333333333333,4.4604745636908785,0.16666666666666666
7,10,1.0083333333333333,0.5552151735038308,1.9583333333333335,0.9255253763253725,6.041666666666667,5.061256706040946,0.15
8,11,1.0606060606060606,0.5504818825631803,1.7424242424242422,0.6733480619178477,5.604166666666667,5.227423348181311,0.13636363636363635
9,12,0.951388888888889,0.5551647931298095,1.5,0.5478634145365562,5.0625,4.644992450059646,0.125
10,13,0.8141025641025641,0.5124598090429011,1.3653846153846154,0.6078261780491965,5.812500000000001,5.616467293691926,0.11538461538461539
11,14,0.7202380952380952,0.39658226678845054,1.3035714285714284,0.540291294154998,5.25,5.544015792826632,0.10714285714285714
12,15,0.7611111111111111,0.40639183184170213,1.3055555555555556,0.48479981868553834,5.875,5.4928931356799575,0.1
13,16,0.6770833333333334,0.3630921887069453,0.96875,0.48086203698265795,2.416666666666667,4.680040360699658,0.09375
14,17,0.7239819004524889,0.40000652148649746,1.0809451985922574,0.4042182250827909,5.598290598290599,4.956896538033853,0.08823529411764706
15,18,0.5864197530864198,0.30082698595089397,1.075102880658436,0.38504727183537746,3.5185185185185186,4.492410915077112,0.08333333333333333
16,19,0.5866228070175439,0.3270688319797073,0.981359649122807,0.4512630930140989,4.036458333333333,4.783096389129988,0.07894736842105263
17,20,0.48275862068965514,0.2159574049201832,0.982758620689655,0.2674730178901171,4.051724137931035,4.488833196291661,0.075
