,n,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates
0,3,1.5,1.3732452327009195,16.416666666666668,8.20451358764653,17.520833333333332,8.225315554568239,0.5555555555555556
1,4,1.625,1.1479147761629926,4.3125,2.0231944968841282,6.75,4.165833249983329,0.4166666666666667
2,5,1.6833333333333331,1.144916299706373,3.6333333333333337,2.260530911091463,7.604166666666667,5.575203969861152,0.33333333333333337
3,6,1.597222222222222,1.1124124323977536,2.708333333333333,1.309907050703019,6.0,3.727711541057507,0.2777777777777778
4,7,1.4285714285714284,0.7063046178186346,2.6190476190476195,1.0213147899774866,7.604166666666667,4.044833381405634,0.2380952380952381
5,8,1.3125,0.8151665644380772,2.135416666666667,0.955555303213791,5.0,4.022506128715723,0.20833333333333334
6,9,1.2314814814814814,0.5327897178079927,1.9074074074074072,0.761514266479707,6.979166666666667,4.280476917224164,0.1851851851851852
7,10,0.9916666666666668,0.5844631915032992,1.6083333333333332,0.8592228400647233,5.541666666666666,4.143896113562694,0.16666666666666669
8,11,0.9166666666666666,0.5566506653809499,1.856060606060606,0.6434936068358158,7.645833333333333,3.881435068946078,0.15151515151515152
9,12,0.9375,0.4995657836784083,1.4444444444444442,0.6092142277628142,6.854166666666667,4.287771290412875,0.1388888888888889
10,13,0.9038461538461539,0.5675520985912964,1.5,0.5515801221615116,7.291666666666667,5.163137235355178,0.12820512820512822
11,14,0.7380952380952381,0.3905052254013506,1.369047619047619,0.4784174118430981,6.895833333333334,4.137344743646313,0.11904761904761905
12,15,0.7055555555555555,0.33291640592396965,1.1444444444444444,0.607667062838903,4.979166666666667,3.954987621135284,0.11111111111111112
13,16,0.671875,0.4382124655125132,1.0625,0.5034602488997738,5.645833333333334,4.959864959519227,0.10416666666666667
14,17,0.693815987933635,0.30391314750542814,1.1312217194570136,0.42465062672254755,6.709401709401709,3.57534250121897,0.09803921568627451
15,18,0.6378600823045268,0.3791260447055201,1.1008230452674896,0.3878205108018675,6.342592592592593,4.620129140885962,0.0925925925925926
16,19,0.5998868138087153,0.35586213745925266,0.8715336728919072,0.26915952349958383,5.456989247311828,3.646810297228305,0.08771929824561404
17,20,0.4999999999999999,0.268741924943285,0.9388888888888889,0.4523259504296639,6.833333333333334,3.4386151389875073,0.08333333333333334
