,t1 average,t1 standard deviation,t2 average,t2 standard deviation,m error average,m standard deviation,rates,Probability of Inseertion
0,1.96875,0.9947234924283678,1.9895833333333333,1.2412453843485851,1.03125,3.701055006308637,0.25,0.0
1,2.0,0.7523112535528245,2.760416666666667,1.402773480466465,0.0,0.0,0.25,0.0025
2,1.7083333333333335,1.0026007846263303,2.9166666666666665,1.4433756729740643,0.0,0.0,0.25,0.005
3,1.84375,0.9677414104501264,3.65625,1.8221426928359796,0.25,1.5612494995995996,0.25,0.0075
4,1.6770833333333333,0.8614400693348061,3.729166666666667,1.7178343520581696,0.4791666666666667,2.1072584545908093,0.25,0.01
5,1.7395833333333333,0.7270057265172598,4.625,2.4505526587554356,1.1979166666666665,4.227870799002206,0.25,0.0125
6,1.7395833333333333,0.7027197906467888,5.833333333333334,2.3533368744071566,1.0833333333333333,3.460842463267514,0.25,0.015
7,1.3333333333333335,0.7637626158259734,5.53125,2.486050491967352,1.3229166666666665,3.3409905540040734,0.25,0.0175
8,1.5833333333333335,0.6666666666666667,6.4375,2.1729676008731573,1.6354166666666665,4.353506229817015,0.25,0.02
9,1.2916666666666667,0.7894706383956841,7.020833333333333,2.398187249430981,1.1770833333333335,3.3938356854335514,0.25,0.0225
10,1.3229166666666667,0.7388494010960556,7.802083333333333,2.400787450388819,2.447916666666667,4.785491945424443,0.25,0.025
11,1.2083333333333335,0.6959705453537527,7.25,2.1282654648536887,1.65625,4.222015197318561,0.25,0.0275
12,1.28125,0.7476090360832548,8.395833333333334,3.4264975436539666,6.041666666666667,7.3426787043663815,0.25,0.03
13,0.96875,0.5696878714114715,8.666666666666668,3.05078541799758,3.78125,6.610037808242014,0.25,0.0325
14,1.125,0.6263873490988712,8.239583333333332,2.964617006133432,3.7708333333333335,5.551174487839888,0.25,0.035
15,1.1875,0.8617549116644347,8.895833333333334,2.5473808717103053,5.614583333333334,6.752692042910656,0.25,0.0375
16,1.03125,0.6717740557244262,10.239583333333334,3.2138582029409934,9.25,7.1109754761370265,0.25,0.04
17,0.9166666666666667,0.6795627679291704,10.510416666666666,3.366356601852117,7.916666666666666,7.2582567925547155,0.25,0.0425
18,0.8958333333333334,0.754327791259653,11.541666666666666,3.1748797002581233,10.364583333333332,7.868928159663452,0.25,0.045
19,0.96875,0.6207319548099826,11.447916666666666,2.5069131846312063,11.697916666666666,6.683823950716136,0.25,0.0475
20,0.875,0.6959705453537528,12.697916666666666,3.610828982034458,14.239583333333334,8.61749245519123,0.25,0.05
21,0.8020833333333334,0.592102978796763,12.302083333333332,3.010380622621591,13.322916666666668,6.8531771702173945,0.25,0.0525
22,0.7708333333333334,0.5476433095039548,13.072916666666668,3.0070627222054713,14.802083333333334,6.094586837126679,0.25,0.055
23,0.8020833333333334,0.6136999300689765,13.166666666666666,3.487079325484613,13.833333333333334,8.187367471361666,0.25,0.0575
24,0.6979166666666666,0.49640635656016063,13.34375,3.104778323407325,15.614583333333332,6.777712851180371,0.25,0.06
25,0.625,0.44682522061515034,14.9375,3.4717985852676807,18.104166666666664,5.946776379313044,0.25,0.0625
26,0.53125,0.49289659018004084,15.333333333333334,3.3179331752697427,18.447916666666668,6.519194083094593,0.25,0.065
27,0.6770833333333334,0.524466494798921,16.4375,3.709211038452487,20.239583333333332,6.125062003654421,0.25,0.0675
28,0.6354166666666667,0.436879520323141,16.041666666666668,3.8897568475848634,20.208333333333336,5.669576458803798,0.25,0.07
29,0.5104166666666667,0.4217142183332742,17.291666666666668,3.2715630820756005,22.208333333333336,4.894015620008674,0.25,0.0725
30,0.45833333333333337,0.3818813079129867,16.59375,3.064536596063279,20.958333333333336,5.296093948478549,0.25,0.075
31,0.5625,0.4223569777648603,17.270833333333332,2.6695134544207364,21.979166666666664,4.366807806243213,0.25,0.0775
32,0.5208333333333334,0.42440726640548676,17.427083333333336,1.9827544235650227,22.395833333333332,3.318652567098748,0.25,0.08
33,0.5416666666666667,0.4768967975941498,18.59375,3.174179000369842,23.645833333333336,4.0114311487436884,0.25,0.0825
34,0.36458333333333337,0.49465458627432357,19.583333333333332,2.848915485661946,24.635416666666668,3.262512638332268,0.25,0.085
